;
c) Consommation effective des ménages (Base 2010), Boissons alcoolisées et tabac, Valeur à prix courants, Mos EUR;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=709;
;
;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;;
;Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);Alcools+tabac (Base 2010);;
;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;Valeur à prix courants, Mos EUR;;
000 France métropolitaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
001 France entière;29428;30736;31971;31975;32694;32563;33064;33519;33855;34900;36528;38263;39365;40246;;
D01 Ain; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D02 Aisne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D03 Allier; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D04 Alpes-de-Haute-Provence; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D05 Hautes-Alpes; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D06 Alpes-Maritimes; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D07 Ardèche; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D08 Ardennes; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D09 Ariège; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D10 Aube; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D11 Aude; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D12 Aveyron; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D13 Bouches-du-Rhône; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D14 Calvados; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D15 Cantal; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D16 Charente; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D17 Charente-Maritime; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D18 Cher; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D19 Corrèze; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D21 Côte-d'Or; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D22 Côtes-d'Armor; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D23 Creuse; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D24 Dordogne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D25 Doubs; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D26 Drôme; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D27 Eure; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D28 Eure-et-Loir; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D29 Finistère; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D2A Corse-du-Sud; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D2B Haute-Corse; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D30 Gard; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D31 Haute-Garonne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D32 Gers; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D33 Gironde; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D34 Hérault; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D35 Ille-et-Vilaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D36 Indre; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D37 Indre-et-Loire; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D38 Isère; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D39 Jura; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D40 Landes; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D41 Loir-et-Cher; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D42 Loire; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D43 Haute-Loire; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D44 Loire-Atlantique; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D45 Loiret; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D46 Lot; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D47 Lot-et-Garonne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D48 Lozère; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D49 Maine-et-Loire; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D50 Manche; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D51 Marne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D52 Haute-Marne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D53 Mayenne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D54 Meurthe-et-Moselle; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D55 Meuse; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D56 Morbihan; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D57 Moselle; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D58 Nièvre; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D59 Nord; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D60 Oise; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D61 Orne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D62 Pas-de-Calais; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D63 Puy-de-Dôme; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D64 Pyrénées-Atlantiques; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D65 Hautes-Pyrénées; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D66 Pyrénées-Orientales; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D67 Bas-Rhin; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D68 Haut-Rhin; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D69 Rhône; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D70 Haute-Saône; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D71 Saône-et-Loire; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D72 Sarthe; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D73 Savoie; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D74 Haute-Savoie; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D75 Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D76 Seine-Maritime; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D77 Seine-et-Marne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D78 Yvelines; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D79 Deux-Sèvres; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D80 Somme; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D81 Tarn; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D82 Tarn-et-Garonne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D83 Var; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D84 Vaucluse; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D85 Vendée; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D86 Vienne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D87 Haute-Vienne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D88 Vosges; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D89 Yonne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D90 Territoire de Belfort; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D91 Essonne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D92 Hauts-de-Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D93 Seine-Saint-Denis; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D94 Val-de-Marne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D95 Val-d'Oise; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D9A Guadeloupe; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D9B Martinique; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D9C Guyane; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D9D Réunion; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D9F Mayotte; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R11 Ile-de-France; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R21 Champagne-Ardenne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R22 Picardie; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R23 Haute-Normandie; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R24 Centre; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R25 Basse-Normandie; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R26 Bourgogne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R31 Nord-Pas-de-Calais; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R41 Lorraine; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R42 Alsace; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R43 Franche-Comté; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
