;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.;Esp vie : Hommes à naiss.
;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années;Nombre d'années
000 France métropolitaine;69;69,2;69,7;69,8;70,1;70,2;70,4;70,7;70,7;71,2;71,3;71,5;72;72,3;72,5;72,8;72,9;73,2;73,3;73,7;73,9;74,1;74,6;74,8;75;75,3;75,5;75,8;75,9;76,7;76,8;77,2;77,4;77,6;77,8; ;78,5;78,5;78,8
001 France entière; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;73,6;73,8;74,1;74,5;74,7;74,9;75,2;75,4;75,7;75,8;76,7;76,7;77,1;77,4;77,6;77,7;78;78,4;78,5;78,7
D01 Ain;69,9; ; ; ; ; ; ;71,1; ; ; ; ; ; ; ;73,2;74,2;74,7;74,1;75,2;74,8;75,3;75,8;75,2;76,3;76,2;76,7;76,5;77,2;77,9;77,4;78;77,7;78,5;78,7; ;79,5;79,4;80,1
D02 Aisne;67,6; ; ; ; ; ; ;68,9; ; ; ; ; ; ; ;70,7;70,8;71,5;71,4;72;71,5;72,3;71,9;72,4;72,8;73,1;72,8;72,7;73,4;74,8;74,3;74,9;75,1;74,5;75,1; ;76;75,8;75,9
D03 Allier;69,2; ; ; ; ; ; ;69,9; ; ; ; ; ; ; ;72;72,4;72,6;72,8;73,3;72,8;73,1;73,5;73,3;74,1;74,1;73,9;74,7;74,5;75,3;75;76,4;76,6;76,1;76,1; ;76,9;77,2;77,4
D04 Alpes-de-Haute-Provence;70,8; ; ; ; ; ; ;70,8; ; ; ; ; ; ; ;73,7;74,8;73,1;74,6;74,2;74,9;73,9;74,9;75,8;75,8;76,9;75,9;75,8;76,9;76,9;77,3;76,8;77;78;78,3; ;79,1;79,2;78,6
D05 Hautes-Alpes;69,9; ; ; ; ; ; ;71,9; ; ; ; ; ; ; ;73,8;73,6;74,2;73,6;74,7;75,1;75,2;75,9;75,3;74,3;76,7;76,4;76,7;76,8;76;77,9;77,7;78,4;78,7;79; ;80,2;80,5;80,7
D06 Alpes-Maritimes;70,8; ; ; ; ; ; ;72,4; ; ; ; ; ; ; ;73,8;73,2;73,8;73,7;74;74,4;74,7;76,4;76;76,4;76,5;76,6;77,3;77,3;77,9;78,1;78,3;78,7;78,8;79,3; ;79,4;79,8;79,7
