;
a) Principaux indicateurs économiques (base 2010), Produit intérieur brut, Volume / personne, EUR 2010;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=714;
;
;
;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;;
;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;PIB Base 2010;;
;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;Volume / personne, EUR 2010;;
000 France métropolitaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
001 France entière;24182,11;24762,77;24904,38;25179,64;24919,83;25412,55;25849,50;26118,33;26637,85;27484,96;28278,34;29177,61;29533,63;29650,45;29683,21;30290,09;30549,50;31057,37;31598,58;31485,63;30406,89;30853,53;;
D01 Ain; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D02 Aisne; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D03 Allier; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D04 Alpes-de-Haute-Provence; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D05 Hautes-Alpes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D06 Alpes-Maritimes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D07 Ardèche; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D08 Ardennes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D09 Ariège; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D10 Aube; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D11 Aude; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D12 Aveyron; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D13 Bouches-du-Rhône; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D14 Calvados; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D15 Cantal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D16 Charente; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D17 Charente-Maritime; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D18 Cher; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D19 Corrèze; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D21 Côte-d'Or; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D22 Côtes-d'Armor; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D23 Creuse; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D24 Dordogne; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D25 Doubs; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D26 Drôme; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D27 Eure; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D28 Eure-et-Loir; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D29 Finistère; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D2A Corse-du-Sud; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D2B Haute-Corse; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D30 Gard; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D31 Haute-Garonne; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D32 Gers; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D33 Gironde; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D34 Hérault; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D35 Ille-et-Vilaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D36 Indre; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D37 Indre-et-Loire; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D38 Isère; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D39 Jura; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D40 Landes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D41 Loir-et-Cher; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D42 Loire; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D43 Haute-Loire; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D44 Loire-Atlantique; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
D45 Loiret; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
